date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2023-10-31,AAPL,-0.552,-0.552,50.738156,0.642373
2023-10-31,AMD,0.057184,0.057184,62.502906,1.20168
2023-10-31,NVDA,-1.727363,-1.727363,49.287585,1.087504
2023-10-31,TSLA,-0.628293,-0.628293,42.072405,0.950742
2023-11-01,AAPL,0.134684,0.134684,50.750883,0.852912
2023-11-01,AMD,0.081218,0.081218,53.461575,2.462589
2023-11-01,NVDA,0.255027,0.255027,55.191433,0.895198
2023-11-01,TSLA,1.593308,1.593308,66.492953,0.975084
2023-11-02,AAPL,0.890958,0.890958,58.807949,1.027747
2023-11-02,AMD,-0.074047,-0.074047,31.126544,1.119334
2023-11-02,NVDA,2.369758,2.369758,39.258413,0.8116
2023-11-02,TSLA,3.55441,3.55441,57.769873,0.985762
2023-11-03,AAPL,-1.875317,-1.875317,66.528239,1.229898
2023-11-03,AMD,1.131411,1.131411,30.816408,1.096865
2023-11-03,NVDA,1.181446,1.181446,41.271151,0.85965
2023-11-03,TSLA,1.208183,1.208183,63.265268,0.953831
2023-11-06,AAPL,-0.226493,-0.226493,72.51066,0.756024
2023-11-06,AMD,0.34735,0.34735,63.537715,0.67715
2023-11-06,NVDA,0.904344,0.904344,72.282847,0.7249
2023-11-06,TSLA,1.604837,1.604837,55.794997,0.829887
2023-11-07,AAPL,-0.262233,-0.262233,42.239316,0.775883
2023-11-07,AMD,-0.357942,-0.357942,43.725095,0.718053
2023-11-07,NVDA,-0.371577,-0.371577,34.014428,0.611793
2023-11-07,TSLA,-0.597437,-0.597437,49.780295,0.808101
2023-11-08,AAPL,0.076999,0.076999,38.965225,0.603513
2023-11-08,AMD,0.044072,0.044072,34.222245,0.578532
2023-11-08,NVDA,0.267653,0.267653,40.718224,0.638268
2023-11-08,TSLA,-0.004501,-0.004501,56.583458,0.747462
2023-11-09,AAPL,-0.218711,-0.218711,35.346068,0.64719
2023-11-09,AMD,0.140857,0.140857,33.534936,0.844214
2023-11-09,NVDA,1.618929,1.618929,29.117414,0.95556
2023-11-09,TSLA,-0.882446,-0.882446,28.473259,0.995803
2023-11-10,AAPL,0.268626,0.268626,43.930013,0.693568
2023-11-10,AMD,0.678474,0.678474,47.964435,1.070062
2023-11-10,NVDA,0.841321,0.841321,50.530185,0.717376
2023-11-10,TSLA,-0.494857,-0.494857,47.040698,0.924955
2023-11-13,AAPL,-0.166309,-0.166309,42.41139,0.511952
2023-11-13,AMD,0.134919,0.134919,47.56602,0.669179
